Parlamentare,id,Partito,dataIngresso,905003,905006,905005,905004,905007,905008,905001,905002,905009,009002,009004,009005,009006,009003,009001
ZAMPA SANDRA,302850,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
BRATTI ALESSANDRO,302852,PD,2013-03-19,,,,,,,,,,,,,,,
BENAMATI GIANLUCA,302854,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
DE MICHELI PAOLA,302856,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
BARETTA PIER PAOLO,302857,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MURER DELIA,302858,MDP-LU,2017-02-28,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
FONTANELLI PAOLO,302860,PD,2013-03-19,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
GNECCHI MARIALUISA,302862,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
SANI LUCA,302863,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
BERGAMINI DEBORAH,302867,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Astensione
PARISI MASSIMO,302868,MISTO,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
BIANCONI MAURIZIO,302870,FI-PDL,2013-03-19,Contrario,Contrario,Contrario,Contrario,Astensione,Astensione,Contrario,Contrario,Astensione,,,,,,
FAENZI MONICA,302871,FI-PDL,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
AGOSTINI LUCIANO,302873,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
BRUNETTA RENATO,302875,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Astensione
MARTINO PIERDOMENICO,302880,MDP-LU,2017-02-28,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
CARDINALE DANIELA,302881,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Non ha votato,Contrario,Favorevole,Favorevole,Contrario,Contrario,Non ha votato,Contrario,Favorevole,Favorevole,Contrario
SAVINO ELVIRA,302882,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Astensione
DISTASO ANTONIO,302883,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
SISTO FRANCESCO PAOLO,302886,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Astensione
CERA ANGELO,302887,AP-CPE-NCD-NCI,2013-11-18,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MISURACA SALVATORE,302889,AP-CPE-NCD-NCI,2013-11-18,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
LOSACCO ALBERTO,302891,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
BOCCIA FRANCESCO,302892,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Non ha votato,Favorevole,Contrario
GINEFRA DARIO,302897,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
GARAVINI LAURA,302899,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
PORTA FABIO,302902,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MINARDO ANTONINO,302913,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Astensione
SALTAMARTINI BARBARA,302914,LNA,2013-03-19,Astensione,Astensione,Astensione,Astensione,Contrario,Contrario,Astensione,Astensione,Astensione,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario
BERRETTA GIUSEPPE,302917,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
GENOVESE FRANCANTONIO,302918,FI-PDL,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
CAUSI MARCO,302920,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
GINOBLE TOMMASO,302921,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
D'INCECCO VITTORIA,302922,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
ABRIGNANI IGNAZIO,302940,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
ANGELUCCI ANTONIO,302942,FI-PDL,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Favorevole,Favorevole,Favorevole,Non ha votato,Favorevole,Astensione
CENNI SUSANNA,302943,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
CUOMO ANTONIO,302946,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
CENTEMERO ELENA,302950,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
FUCCI BENEDETTO FRANCESCO,302955,MISTO,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
GAROFALO VINCENZO,302956,AP-CPE-NCD-NCI,2013-11-18,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
GIAMMANCO GABRIELLA,302957,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MOTTOLA GIOVANNI CARLO FRANCESCO,302961,MISTO,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
NASTRI GAETANO,302962,FDI-AN,2013-04-03,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Astensione,,,,,,
PAGANO ALESSANDRO SARO ALFONSO,302964,AP-CPE-NCD-NCI,2013-11-18,Astensione,Astensione,Astensione,Astensione,Contrario,Contrario,Astensione,Astensione,Astensione,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario
PETRENGA GIOVANNA,302967,FDI-AN,2013-04-03,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Astensione,,,,,,
POLIDORI CATIA,302968,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Astensione
OCCHIUTO ROBERTO,302969,FI-PDL,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Astensione
SAMMARCO GIANFRANCO,302971,AP-CPE-NCD-NCI,2013-11-18,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
VELLA PAOLO,302977,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
FEDRIGA MASSIMILIANO,302983,LNA,2013-03-19,Astensione,Astensione,Astensione,Astensione,Contrario,Contrario,Astensione,Astensione,Astensione,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
ANTEZZA MARIA,303024,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
BIONDELLI FRANCA MARIA GRAZIA,303028,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
BLAZINA TAMARA,303029,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
CALABRO' RAFFAELE,303032,AP-CPE-NCD-NCI,2013-11-18,,,,,,,,,,,,,,,
DI STEFANO FABRIZIO,303057,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
GALPERTI GUIDO,303065,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
LATRONICO COSIMO,303072,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
LONGO PIERO,303074,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
SANNA FRANCESCO,303107,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
SARRO CARLO,303108,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Non ha votato,Favorevole,Astensione
TANCREDI PAOLO,303114,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
CALABRIA ANNAGRAZIA,303200,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Astensione
PISICCHIO GIUSEPPE,30350,MISTO,2013-03-19,,,,,,,,,,,,,,,
ALBINI TEA,304901,MDP-LU,2017-02-28,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
D'ALESSANDRO LUCA,304961,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
CATANIA MARIO,305005,DES-CD,2013-12-10,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
BALDUZZI RENATO,305008,CI,2017-07-10,,,,,,,,,,,,,,,
BORGHESI STEFANO,305501,LNA,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
INVERNIZZI CRISTIAN,305503,LNA,2013-03-19,Astensione,Astensione,Astensione,Astensione,Contrario,Contrario,Astensione,Astensione,Astensione,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario
VITELLI PAOLO,305505,CI,2017-07-10,,,,,,,,,,,,,,,
BOMBASSEI ALBERTO,305508,MISTO,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
MONCHIERO GIOVANNI,305509,MISTO,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
GITTI GREGORIO,305511,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
SANTERINI MILENA,305514,DES-CD,2013-12-10,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
SBERNA MARIO,305516,CI,2017-07-10,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
ALBERTI FERDINANDO,305518,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,,,,,,
COMINARDI CLAUDIO,305520,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
BASILIO TATIANA,305522,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Non ha votato,Astensione,,,,,,
SORIAL GIRGIS,305524,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,,,,,,
CASTELLI LAURA,305525,M5S,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
CATALANO IVAN,305528,MISTO,2013-03-19,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,,,,,,
PETRAROLI COSIMO,305530,M5S,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
DELL'ARINGA CARLO,305532,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
COMINELLI MIRIAM,305534,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
CHIMIENTI SILVIA,305535,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,,,,,,
BECHIS ELEONORA,305538,MISTO,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
CARNEVALI ELENA,305539,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
DELLA VALLE IVAN,305541,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,,,,,,
PREZIOSI ERNESTO,305543,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
BRAGANTINI PAOLA,305545,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
BAZOLI ALFREDO,305547,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
BONAFE' SIMONA,305549,PD,2013-03-19,,,,,,,,,,,,,,,
TENTORI VERONICA,305551,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
GADDA MARIA CHIARA,305553,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
BERLINGHIERI MARINA,305555,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
GUERINI GIUSEPPE,305557,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
FRAGOMELI GIAN MARIO,305559,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
SENALDI ANGELO,305561,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
BONOMO FRANCESCA,305563,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
PATRIARCA EDOARDO,305565,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
GIORGIS ANDREA,305567,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Non ha votato,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
FREGOLENT SILVIA,305569,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
D'OTTAVIO UMBERTO,305571,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MATTIELLO DAVIDE,305573,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
AIRAUDO GIORGIO,305575,SI-SEL-POS-LU,2013-03-19,Contrario,Non ha votato,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
PLANGGER ALBRECHT,305578,MISTO,2013-03-19,Favorevole,Favorevole,Favorevole,Non ha votato,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
GEBHARD RENATE,305580,MISTO,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
ALFREIDER DANIEL,305582,MISTO,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
OTTOBRE MAURO,305584,MISTO,2013-03-19,Favorevole,Favorevole,Non ha votato,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
SCHULLIAN MANFRED,305586,MISTO,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
COSTANTINO CELESTINA,305588,SI-SEL-POS-LU,2013-03-19,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
NICOLETTI MICHELE,305590,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MAZZIOTTI DI CELSO ANDREA,305592,MISTO,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
FRACCARO RICCARDO,305595,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
DELLAI LORENZO,305597,CI,2017-07-10,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
ZOLEZZI ALBERTO,305598,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
TONINELLI DANILO,305600,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,,,,,,
BUSINAROLO FRANCESCA,305602,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
BENEDETTI SILVIA,305604,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
ROSTELLATO GESSICA,305606,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
BRUGNEROTTO MARCO,305609,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,,,,,,
ALLI PAOLO,305610,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
FANTINATI MATTIA,305612,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
TURCO TANCREDI,305614,M5S,2013-03-19,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,,,,,,
FERRARI ALAN,305616,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
CAPUA ILARIA,305618,CI,2017-07-10,,,,,,,,,,,,,,,
QUINTARELLI GIUSEPPE STEFANO,305620,DES-CD,2013-12-10,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
GUERINI LORENZO,305624,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
SCUVERA CHIARA,305626,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MARTELLI GIOVANNA,305628,SI-SEL-POS-LU,2013-03-19,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
BUSIN FILIPPO,305630,LNA,2013-03-19,Astensione,Astensione,Astensione,Astensione,Contrario,Contrario,Astensione,Astensione,Astensione,,,,,,
CAON ROBERTO,305632,LNA,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
ZOGGIA DAVIDE,305634,PD,2013-03-19,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
MORETTI ALESSANDRA,305636,PD,2013-03-19,,,,,,,,,,,,,,,
GINATO FEDERICO,305638,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
ZARDINI DIEGO,305640,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
NARDUOLO GIULIA,305642,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
CRIVELLARI DIEGO,305644,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
D'ARIENZO VINCENZO,305646,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
CRIMI' FILIPPO,305648,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
ROTTA ALESSIA,305650,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
MOGNATO MICHELE,305652,MDP-LU,2017-02-28,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
CASELLATO FLORIANA,305654,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
DE MENECH ROGER,305656,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
PASTORELLI ORESTE,305658,MISTO,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MORETTO SARA,305660,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Non ha votato,Non ha votato,Non ha votato,Favorevole,Non ha votato,Non ha votato
MARCOLIN MARCO,305662,MISTO,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
PRATAVIERA EMANUELE,305664,LNA,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Contrario,,,,,,
ZANETTI ENRICO,305666,CI,2017-07-10,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
SPESSOTTO ARIANNA,305668,M5S,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
